,varname,long_name,code,table,units,model,outdatatype,dims,stream
hyai,,hybrid A coefficient at layer interfaces,,,Pa,echam6,tracer,['nhyi'],echam6_tracer
hybi,,hybrid B coefficient at layer interfaces,,,1,echam6,tracer,['nhyi'],echam6_tracer
hyam,,hybrid A coefficient at layer midpoints,,,Pa,echam6,tracer,['nhym'],echam6_tracer
hybm,,hybrid B coefficient at layer midpoints,,,1,echam6,tracer,['nhym'],echam6_tracer
CO2,,mass fraction of CO2 in air,1,255,kg kg-1,echam6,tracer,"['time', 'lev', 'lat', 'lon']",echam6_tracer
runoff,,Surface Runoff and Drainage (acc+weighted),160,185,kg/m^2s,echam6,accw,"['time', 'lat', 'lon']",echam6_accw
drainage,,Drainage (acc+weighted),161,185,kg/m^2s,echam6,accw,"['time', 'lat', 'lon']",echam6_accw
ground_heat_flux,,Ground Heat Flux (acc+weighted),206,185,W/m^2,echam6,accw,"['time', 'lat', 'lon']",echam6_accw
glacier_runoff,,Glacier Runoff (acc+weighted),215,185,kg/m^2s,echam6,accw,"['time', 'lat', 'lon']",echam6_accw
snow_melt,,Land Snow Melt (acc+weighted),218,185,kg/m^2s,echam6,accw,"['time', 'lat', 'lon']",echam6_accw
glacier_precip_minus_evap,,P-E over land ice (acc+weighted),221,185,kg/m^2s,echam6,accw,"['time', 'lat', 'lon']",echam6_accw
snow_accumulation,,Snow Accumulation (acc+weighted),222,185,kg/m^2s,echam6,accw,"['time', 'lat', 'lon']",echam6_accw
glacier_melt,,Glacier Ice Melt (acc+weighted),228,185,kg/m^2s,echam6,accw,"['time', 'lat', 'lon']",echam6_accw
var64,,,,128,,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
var65,,,,128,,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
var66,,,,128,,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
var67,,,,128,,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
ocu,,ocean eastw. velocity (coupled mode),83,128,m/s,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
ocv,,ocean northw. velocity (coupled mode),84,128,m/s,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
tradl,,thermal radiation 200mb,85,128,W m-2,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
sradl,,solar radiation 200mb,86,128,W m-2,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
trafl,,thermal radiation 200mb (clear sky),87,128,W m-2,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
srafl,,solar radiation 200mb (clear sky),88,128,W m-2,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
trfliac,,LW flux over ice,91,128,W m-2,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
trflwac,,LW flux over water,92,128,W m-2,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
trfllac,,LW flux over land,93,128,W m-2,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
sofliac,,SW flux over ice,94,128,W m-2,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
soflwac,,SW flux over water,95,128,W m-2,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
sofllac,,SW flux over land,96,128,W m-2,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
friac,,ice cover (fraction of grid box),97,128,,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
var100,,,,128,,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
var101,,,,128,,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
tsi,,surface temperature of ice,102,128,K,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
tsw,,surface temperature of water,103,128,K,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
ustri,,zonal      wind stress over ice,104,128,Pa,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
vstri,,meridional wind stress over ice,105,128,Pa,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
ustrw,,zonal      wind stress over water,106,128,Pa,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
vstrw,,meridional wind stress over water,107,128,Pa,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
ustrl,,zonal      wind stress over land,108,128,Pa,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
vstrl,,meridional wind stress over land,109,128,Pa,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
ahfliac,,latent heat flux over ice,110,128,W m-2,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
ahflwac,,latent heat flux over water,111,128,W m-2,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
ahfllac,,latent heat flux over land,112,128,W m-2,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
evapiac,,evaporation over ice,113,128,kg m-2 s-1,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
evapwac,,evaporation over water,114,128,kg m-2 s-1,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
evaplac,,evaporation over land,115,128,kg m-2 s-1,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
az0i,,roughness length over ice,116,128,m,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
az0w,,roughness length over water,117,128,m,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
ahfsiac,,sensible heat flux over ice,119,128,W m-2,echam6,BOT_mm,"['time', 'lat', 'lon']",echam6_BOT_mm
